epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9184,1.9556,1.95624,1.33537,0.85187,0.32103,0.34174,0.19909,1.61641,1.32801,1.16206,0.000331111,0.000331111,0.000331111
2,43.9093,1.69194,1.29374,1.18385,0.45234,0.43304,0.40363,0.23828,1.54831,1.23124,1.15073,0.000664282,0.000664282,0.000664282
3,62.8704,1.65449,1.24093,1.16147,0.45489,0.44392,0.41225,0.25086,1.52331,1.19453,1.13682,0.000996803,0.000996803,0.000996803
4,81.8154,1.64784,1.19049,1.16457,0.41916,0.47019,0.43061,0.26005,1.53053,1.16556,1.1388,0.000997803,0.000997803,0.000997803
5,100.936,1.64134,1.15099,1.158,0.43971,0.48906,0.44216,0.26586,1.49722,1.14314,1.1305,0.000996097,0.000996097,0.000996097
6,120.105,1.63244,1.18214,1.15491,0.46329,0.45063,0.42599,0.25546,1.52409,1.15253,1.1419,0.000993906,0.000993906,0.000993906
7,139.165,1.5977,1.16421,1.15322,0.45384,0.50229,0.45447,0.27799,1.48208,1.11726,1.11711,0.000991232,0.000991232,0.000991232
8,158.475,1.57872,1.09697,1.12918,0.46399,0.50787,0.46723,0.28139,1.46388,1.09862,1.12007,0.000988079,0.000988079,0.000988079
9,177.741,1.5783,1.11151,1.14146,0.48038,0.47318,0.44959,0.27767,1.47761,1.13803,1.12652,0.000984449,0.000984449,0.000984449
10,196.881,1.58717,1.11146,1.1431,0.51845,0.50047,0.4753,0.29159,1.48949,1.06941,1.12794,0.000980345,0.000980345,0.000980345
11,216.303,1.55012,1.07233,1.12554,0.46476,0.4968,0.47519,0.29492,1.46849,1.09948,1.10641,0.000975773,0.000975773,0.000975773
12,236.177,1.56258,1.08712,1.1285,0.50175,0.50967,0.47548,0.29857,1.46584,1.07383,1.11015,0.000970736,0.000970736,0.000970736
13,255.985,1.55424,1.07622,1.12795,0.55933,0.47775,0.47911,0.29366,1.48801,1.07845,1.11353,0.000965239,0.000965239,0.000965239
14,276.178,1.54212,1.05891,1.12096,0.48392,0.49068,0.47346,0.29371,1.45003,1.06896,1.09503,0.000959289,0.000959289,0.000959289
15,296.712,1.56369,1.07261,1.13242,0.4833,0.48435,0.4613,0.28812,1.47445,1.10691,1.11026,0.000952889,0.000952889,0.000952889
16,317.026,1.53089,1.05625,1.12189,0.48203,0.52971,0.48063,0.29802,1.48469,1.05187,1.1165,0.000946048,0.000946048,0.000946048
17,337.555,1.52274,1.0453,1.11342,0.44829,0.52016,0.48352,0.29896,1.46006,1.06508,1.10311,0.000938772,0.000938772,0.000938772
18,358.31,1.52123,1.05269,1.11768,0.50892,0.48728,0.47749,0.30768,1.44532,1.05304,1.09588,0.000931067,0.000931067,0.000931067
19,379.214,1.52452,1.04202,1.12328,0.4961,0.51856,0.48099,0.29586,1.47392,1.04946,1.1085,0.000922942,0.000922942,0.000922942
20,400.348,1.51681,1.05097,1.10799,0.48309,0.51063,0.48408,0.3042,1.46013,1.04618,1.10095,0.000914405,0.000914405,0.000914405
21,421.312,1.5241,1.05256,1.11628,0.54637,0.49164,0.48594,0.31024,1.43202,1.05521,1.09511,0.000905463,0.000905463,0.000905463
22,442.802,1.53283,1.04449,1.11376,0.49716,0.50529,0.49145,0.31095,1.45332,1.05872,1.09905,0.000896127,0.000896127,0.000896127
23,463.999,1.51715,1.03171,1.10222,0.50196,0.50569,0.48514,0.31169,1.42016,1.04521,1.09744,0.000886404,0.000886404,0.000886404
24,485.725,1.50614,1.02373,1.0981,0.50024,0.51624,0.48842,0.31193,1.43295,1.03003,1.09747,0.000876305,0.000876305,0.000876305
25,507.021,1.5111,1.02713,1.11214,0.48799,0.5321,0.4865,0.30935,1.42968,1.03836,1.09817,0.000865839,0.000865839,0.000865839
26,528.507,1.4966,1.01905,1.09896,0.49451,0.52355,0.49039,0.30965,1.43057,1.02829,1.09383,0.000855018,0.000855018,0.000855018
27,550.067,1.49877,1.02183,1.11012,0.47769,0.52864,0.48663,0.30612,1.43185,1.0259,1.10131,0.000843851,0.000843851,0.000843851
28,571.695,1.49839,1.0155,1.09873,0.49249,0.5252,0.47846,0.30346,1.43257,1.03714,1.09412,0.000832349,0.000832349,0.000832349
29,594.064,1.48878,1.0183,1.09807,0.49267,0.51413,0.48917,0.30881,1.42749,1.04124,1.09598,0.000820525,0.000820525,0.000820525
30,616.073,1.49873,1.02923,1.10608,0.48592,0.50042,0.47885,0.30074,1.42535,1.04858,1.09702,0.000808389,0.000808389,0.000808389
31,638.709,1.48031,0.98979,1.09275,0.50731,0.52702,0.48463,0.30727,1.43897,1.05492,1.09891,0.000795954,0.000795954,0.000795954
32,660.665,1.4705,0.99887,1.09645,0.49542,0.52386,0.49286,0.31756,1.42477,1.03402,1.09007,0.000783231,0.000783231,0.000783231
33,682.946,1.49376,1.02533,1.10762,0.50714,0.50499,0.47858,0.30409,1.42134,1.042,1.09636,0.000770234,0.000770234,0.000770234
34,705.101,1.47021,1.00617,1.09514,0.48386,0.52554,0.50235,0.3224,1.41273,1.02899,1.08617,0.000756976,0.000756976,0.000756976
35,726.552,1.49237,1.0036,1.10244,0.51562,0.52028,0.4978,0.32106,1.40205,1.03744,1.08871,0.000743468,0.000743468,0.000743468
36,748.68,1.4635,0.98812,1.08655,0.50412,0.54048,0.49607,0.31732,1.41748,1.03728,1.08604,0.000729725,0.000729725,0.000729725
37,771.012,1.48544,0.9827,1.09009,0.4706,0.51696,0.48558,0.3117,1.40665,1.03694,1.07974,0.000715761,0.000715761,0.000715761
38,792.706,1.47012,0.98643,1.09478,0.52374,0.49947,0.5021,0.32302,1.42783,1.03083,1.08564,0.000701588,0.000701588,0.000701588
39,814.458,1.44843,0.98082,1.0907,0.51013,0.52812,0.49919,0.32758,1.40175,1.02067,1.08004,0.000687222,0.000687222,0.000687222
40,836.26,1.4612,0.98066,1.08777,0.51768,0.5326,0.51525,0.33089,1.40109,1.01103,1.08174,0.000672675,0.000672675,0.000672675
41,858.692,1.45311,0.97534,1.08048,0.50196,0.52445,0.49625,0.32105,1.4275,1.03409,1.085,0.000657963,0.000657963,0.000657963
42,880.646,1.46053,0.96527,1.07783,0.50691,0.53016,0.50954,0.33234,1.39401,1.0112,1.0725,0.000643101,0.000643101,0.000643101
43,902.984,1.45702,0.98095,1.08466,0.47714,0.52818,0.49239,0.32038,1.40297,1.0137,1.0822,0.000628101,0.000628101,0.000628101
44,925.028,1.46879,0.96924,1.08414,0.48206,0.52808,0.50076,0.3283,1.39889,1.01081,1.08286,0.000612981,0.000612981,0.000612981
45,946.976,1.45426,0.97064,1.08822,0.5245,0.51251,0.49841,0.32178,1.41019,1.0219,1.07934,0.000597754,0.000597754,0.000597754
46,968.749,1.45458,0.97747,1.08281,0.51623,0.52276,0.49583,0.3211,1.39717,1.01877,1.0808,0.000582435,0.000582435,0.000582435
47,991.204,1.44729,0.959,1.08082,0.49239,0.53172,0.49421,0.32333,1.38125,1.0016,1.07938,0.00056704,0.00056704,0.00056704
48,1013.46,1.44442,0.95091,1.08382,0.50242,0.51899,0.50346,0.32432,1.42485,1.00164,1.08868,0.000551584,0.000551584,0.000551584
49,1035.83,1.44385,0.95046,1.07258,0.54024,0.53397,0.50799,0.32498,1.40073,1.0151,1.07811,0.000536081,0.000536081,0.000536081
50,1058.21,1.42924,0.95318,1.06979,0.52446,0.53639,0.50881,0.33206,1.40641,0.98654,1.08642,0.000520548,0.000520548,0.000520548
