epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,1080.67,1.43552,0.9508,1.06706,0.50181,0.55489,0.50253,0.32732,1.3862,0.99649,1.07775,0.000505,0.000505,0.000505
52,1103.03,1.44827,0.9592,1.08073,0.48974,0.53531,0.50347,0.3312,1.39858,0.9878,1.0842,0.000489452,0.000489452,0.000489452
53,1125.08,1.42486,0.94293,1.07523,0.52407,0.51939,0.49085,0.3209,1.42281,1.00805,1.08202,0.000473919,0.000473919,0.000473919
54,1147.02,1.43415,0.93778,1.07445,0.51639,0.53705,0.50095,0.33005,1.38346,0.99562,1.07569,0.000458416,0.000458416,0.000458416
55,1169.12,1.41786,0.93799,1.07123,0.49272,0.50288,0.48889,0.32311,1.40875,1.01354,1.08419,0.00044296,0.00044296,0.00044296
56,1191.4,1.43275,0.93585,1.06688,0.54136,0.52494,0.50211,0.32795,1.40928,0.99579,1.08453,0.000427565,0.000427565,0.000427565
57,1213.43,1.43551,0.96317,1.07748,0.50005,0.53364,0.49115,0.31829,1.40113,1.01565,1.0844,0.000412246,0.000412246,0.000412246
58,1235.55,1.42086,0.92877,1.06407,0.50949,0.52241,0.49934,0.33059,1.39551,0.99212,1.07497,0.000397019,0.000397019,0.000397019
59,1257.69,1.42702,0.92648,1.07116,0.52316,0.52857,0.5053,0.33049,1.39172,1.0064,1.07614,0.000381899,0.000381899,0.000381899
60,1279.81,1.41498,0.91135,1.05483,0.49879,0.53413,0.50234,0.32626,1.40964,1.00622,1.08201,0.000366899,0.000366899,0.000366899
61,1301.84,1.39927,0.90033,1.05744,0.57813,0.51398,0.51006,0.33245,1.3993,0.98375,1.08033,0.000352037,0.000352037,0.000352037
62,1323.88,1.40463,0.91506,1.05596,0.5341,0.51215,0.49665,0.32569,1.3962,1.00264,1.07913,0.000337325,0.000337325,0.000337325
63,1346.26,1.40291,0.90497,1.05639,0.53111,0.51911,0.49815,0.32812,1.41634,1.00196,1.07516,0.000322778,0.000322778,0.000322778
64,1368.03,1.41515,0.91006,1.06059,0.52248,0.53226,0.50271,0.32968,1.40815,0.98835,1.07759,0.000308412,0.000308412,0.000308412
65,1390.42,1.3941,0.91633,1.05564,0.54816,0.51655,0.50578,0.33285,1.37892,0.97744,1.07642,0.000294239,0.000294239,0.000294239
66,1412.6,1.40296,0.89884,1.06847,0.52013,0.5232,0.50419,0.33055,1.39651,0.99811,1.08255,0.000280275,0.000280275,0.000280275
67,1434.96,1.40718,0.9106,1.05451,0.53343,0.51812,0.50288,0.33118,1.41629,0.99851,1.08646,0.000266532,0.000266532,0.000266532
68,1456.78,1.39947,0.89269,1.05284,0.50377,0.52026,0.49712,0.32219,1.43246,1.02225,1.08955,0.000253024,0.000253024,0.000253024
69,1478.84,1.37771,0.88808,1.05396,0.51907,0.52828,0.50279,0.33073,1.39858,0.99094,1.08188,0.000239766,0.000239766,0.000239766
70,1500.85,1.38805,0.88853,1.04582,0.54,0.51523,0.50047,0.32814,1.4031,0.99564,1.0814,0.000226769,0.000226769,0.000226769
71,1522.5,1.37897,0.88914,1.04849,0.54018,0.5102,0.49361,0.32324,1.42838,1.00553,1.08787,0.000214046,0.000214046,0.000214046
72,1544.57,1.37872,0.87985,1.05451,0.53018,0.5228,0.5026,0.32709,1.44347,1.01096,1.09311,0.000201611,0.000201611,0.000201611
73,1566.85,1.39925,0.88127,1.04676,0.53767,0.52032,0.50453,0.33225,1.39068,0.97548,1.0775,0.000189475,0.000189475,0.000189475
74,1588.81,1.35176,0.86182,1.03781,0.55488,0.50025,0.50376,0.33304,1.43186,0.99826,1.08775,0.000177651,0.000177651,0.000177651
75,1611.17,1.37116,0.87098,1.04646,0.53754,0.51133,0.50401,0.32927,1.41274,0.98476,1.08297,0.000166149,0.000166149,0.000166149
76,1633.47,1.36957,0.86221,1.04383,0.55008,0.51527,0.50427,0.3301,1.42178,0.98789,1.08726,0.000154982,0.000154982,0.000154982
77,1655.36,1.382,0.86449,1.04083,0.51596,0.52829,0.50264,0.33145,1.42357,0.99579,1.08514,0.000144161,0.000144161,0.000144161
78,1677.41,1.3527,0.85713,1.04303,0.54084,0.52719,0.5101,0.33416,1.41406,0.99142,1.0849,0.000133695,0.000133695,0.000133695
79,1699.76,1.36066,0.85063,1.03551,0.54192,0.52044,0.50626,0.33362,1.40192,0.97381,1.08317,0.000123596,0.000123596,0.000123596
80,1721.69,1.36595,0.86375,1.03801,0.54174,0.51866,0.50312,0.33149,1.446,0.99586,1.0932,0.000113873,0.000113873,0.000113873
81,1744.04,1.36157,0.84895,1.0386,0.57439,0.49441,0.49607,0.33004,1.4092,0.97744,1.084,0.000104537,0.000104537,0.000104537
82,1766.33,1.3748,0.85205,1.03959,0.55291,0.5104,0.50082,0.33116,1.42019,0.99388,1.08759,9.55951e-05,9.55951e-05,9.55951e-05
83,1788.25,1.36388,0.84597,1.03333,0.54216,0.53016,0.51125,0.33371,1.41575,0.98094,1.08457,8.70577e-05,8.70577e-05,8.70577e-05
84,1810.58,1.33506,0.84557,1.03074,0.51839,0.53666,0.50414,0.3317,1.40274,0.9773,1.08003,7.89327e-05,7.89327e-05,7.89327e-05
85,1832.45,1.35694,0.83484,1.03866,0.52906,0.52714,0.49914,0.33081,1.41003,0.97774,1.08335,7.12282e-05,7.12282e-05,7.12282e-05
86,1864.53,1.34034,0.83207,1.03021,0.55706,0.51353,0.506,0.33522,1.41474,0.9778,1.08512,6.39518e-05,6.39518e-05,6.39518e-05
87,1912.56,1.34844,0.84047,1.03511,0.54155,0.51789,0.5005,0.33039,1.4135,0.97766,1.08407,5.71106e-05,5.71106e-05,5.71106e-05
88,1958.07,1.34713,0.83252,1.03534,0.52791,0.53248,0.49836,0.32806,1.43494,0.98843,1.08994,5.07115e-05,5.07115e-05,5.07115e-05
89,2002.31,1.35087,0.83135,1.03652,0.52749,0.51511,0.50201,0.33099,1.43146,0.99215,1.08588,4.47606e-05,4.47606e-05,4.47606e-05
90,2045.69,1.3406,0.83621,1.03317,0.54124,0.53139,0.50627,0.33382,1.41216,0.97701,1.08398,3.9264e-05,3.9264e-05,3.9264e-05
91,2087.36,1.3236,0.83559,1.03424,0.54898,0.51019,0.4967,0.3288,1.42399,0.99239,1.08747,3.4227e-05,3.4227e-05,3.4227e-05
92,2127.88,1.30774,0.81862,1.02737,0.57787,0.49383,0.49758,0.32849,1.43217,0.98209,1.08869,2.96546e-05,2.96546e-05,2.96546e-05
93,2168.06,1.30946,0.80952,1.02455,0.51077,0.52132,0.49748,0.32853,1.42424,0.97475,1.09153,2.55513e-05,2.55513e-05,2.55513e-05
94,2208.59,1.30851,0.80233,1.02431,0.5227,0.52213,0.49938,0.32799,1.4311,0.97898,1.09133,2.19212e-05,2.19212e-05,2.19212e-05
95,2249.24,1.2988,0.80294,1.02003,0.52065,0.52007,0.49842,0.32771,1.42855,0.97944,1.09065,1.87678e-05,1.87678e-05,1.87678e-05
96,2289.6,1.30005,0.79501,1.02233,0.51015,0.52691,0.49938,0.32753,1.43456,0.98139,1.09289,1.60943e-05,1.60943e-05,1.60943e-05
97,2330.01,1.3078,0.80551,1.03075,0.50698,0.52642,0.49827,0.32721,1.4371,0.98066,1.09472,1.39032e-05,1.39032e-05,1.39032e-05
98,2370.7,1.30023,0.80218,1.02128,0.51067,0.52727,0.49881,0.32701,1.43559,0.98212,1.0952,1.21968e-05,1.21968e-05,1.21968e-05
99,2410.97,1.29098,0.7944,1.02305,0.51905,0.52017,0.49916,0.32777,1.43742,0.98255,1.09577,1.09768e-05,1.09768e-05,1.09768e-05
100,2451.59,1.29303,0.78878,1.02927,0.52823,0.52439,0.50099,0.3285,1.43805,0.98208,1.09548,1.02443e-05,1.02443e-05,1.02443e-05
