epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3095,1.94891,1.85208,1.34541,0.85957,0.33553,0.37543,0.21568,1.63171,1.27309,1.17601,0.000331111,0.000331111,0.000331111
2,51.8341,1.68751,1.29144,1.18568,0.66905,0.3763,0.39211,0.23138,1.54196,1.26787,1.15571,0.000664282,0.000664282,0.000664282
3,74.6417,1.6701,1.25708,1.16772,0.55137,0.40943,0.41944,0.24595,1.52124,1.27435,1.10987,0.000996803,0.000996803,0.000996803
4,97.26,1.64576,1.20555,1.16386,0.62453,0.43439,0.43883,0.2618,1.51495,1.1556,1.13545,0.000997803,0.000997803,0.000997803
5,119.838,1.63386,1.15491,1.15151,0.80955,0.39101,0.43485,0.25705,1.51671,1.13225,1.13211,0.000996097,0.000996097,0.000996097
6,142.467,1.64455,1.1758,1.1565,0.48369,0.48129,0.44732,0.26549,1.52593,1.14482,1.12838,0.000993906,0.000993906,0.000993906
7,164.846,1.60296,1.14814,1.14784,0.47605,0.49813,0.46281,0.28441,1.49802,1.10687,1.10729,0.000991232,0.000991232,0.000991232
8,187.545,1.58691,1.09613,1.13256,0.5231,0.50502,0.48145,0.29935,1.47865,1.06782,1.10809,0.000988079,0.000988079,0.000988079
9,210.002,1.56665,1.09824,1.13967,0.49974,0.5037,0.47272,0.29386,1.45425,1.10128,1.10825,0.000984449,0.000984449,0.000984449
10,232.369,1.57319,1.10655,1.13391,0.48311,0.50159,0.4778,0.29264,1.46741,1.06737,1.10814,0.000980345,0.000980345,0.000980345
11,254.898,1.54437,1.0623,1.12407,0.47367,0.47702,0.46238,0.2875,1.47154,1.08346,1.11267,0.000975773,0.000975773,0.000975773
12,277.394,1.56631,1.09625,1.13504,0.52758,0.489,0.47102,0.2846,1.49339,1.09706,1.1275,0.000970736,0.000970736,0.000970736
13,300.032,1.56618,1.09343,1.13186,0.46657,0.49219,0.47155,0.29169,1.48082,1.07807,1.10709,0.000965239,0.000965239,0.000965239
14,322.509,1.555,1.07779,1.12546,0.48548,0.49853,0.47767,0.29619,1.45067,1.0756,1.09712,0.000959289,0.000959289,0.000959289
15,345.16,1.55485,1.07006,1.12699,0.48508,0.51178,0.46845,0.29172,1.46256,1.07684,1.10706,0.000952889,0.000952889,0.000952889
16,367.646,1.53806,1.0619,1.12302,0.5136,0.50225,0.48296,0.29496,1.49691,1.05566,1.12253,0.000946048,0.000946048,0.000946048
17,390.206,1.5412,1.05506,1.12166,0.51734,0.48756,0.47866,0.29478,1.45833,1.07942,1.10084,0.000938772,0.000938772,0.000938772
