epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1851.92,1.46077,0.96624,1.07888,0.51563,0.53427,0.50779,0.32562,1.40218,0.99501,1.07971,0.000643101,0.000643101,0.000643101
43,1874.22,1.45935,0.9775,1.08821,0.51808,0.51041,0.49158,0.32052,1.39879,1.0083,1.0835,0.000628101,0.000628101,0.000628101
44,1896.5,1.46563,0.9709,1.08407,0.50304,0.53594,0.49909,0.3238,1.40732,1.02003,1.0808,0.000612981,0.000612981,0.000612981
45,1918.5,1.44755,0.96688,1.08332,0.53294,0.53206,0.50666,0.32543,1.41776,1.01392,1.08087,0.000597754,0.000597754,0.000597754
46,1940.57,1.45923,0.97816,1.08774,0.53852,0.51245,0.49748,0.32072,1.39847,1.0147,1.08004,0.000582435,0.000582435,0.000582435
47,1962.93,1.44932,0.96369,1.08131,0.52311,0.5281,0.49629,0.32048,1.38265,1.01114,1.07437,0.00056704,0.00056704,0.00056704
48,1985.32,1.44381,0.95561,1.08326,0.47222,0.54404,0.50338,0.32566,1.41699,1.00002,1.08483,0.000551584,0.000551584,0.000551584
49,2007.78,1.44359,0.94934,1.07116,0.52084,0.53356,0.50099,0.32519,1.38655,1.00042,1.07383,0.000536081,0.000536081,0.000536081
50,2030.33,1.42726,0.94718,1.06992,0.54499,0.51227,0.49451,0.32766,1.38127,0.99962,1.07193,0.000520548,0.000520548,0.000520548
51,2052.94,1.4395,0.94954,1.06986,0.5272,0.52363,0.49734,0.32716,1.38343,1.0029,1.06633,0.000505,0.000505,0.000505
52,2075.44,1.44656,0.95689,1.0776,0.49962,0.54116,0.5083,0.32606,1.41556,0.99483,1.08844,0.000489452,0.000489452,0.000489452
53,2097.92,1.4251,0.94653,1.07409,0.51151,0.51993,0.49568,0.32422,1.40363,1.00592,1.0803,0.000473919,0.000473919,0.000473919
54,2120.55,1.43495,0.93799,1.07221,0.50627,0.53723,0.4998,0.33046,1.39124,0.99593,1.0821,0.000458416,0.000458416,0.000458416
55,2142.85,1.41401,0.93439,1.07,0.48874,0.51157,0.49434,0.32211,1.41817,1.02124,1.09032,0.00044296,0.00044296,0.00044296
56,2165.42,1.42815,0.93314,1.06711,0.52184,0.5325,0.50511,0.32672,1.40004,0.99013,1.08247,0.000427565,0.000427565,0.000427565
57,2187.88,1.43132,0.96277,1.07675,0.51065,0.54174,0.4983,0.32622,1.38888,1,1.07997,0.000412246,0.000412246,0.000412246
58,2210.46,1.41326,0.91984,1.06263,0.51745,0.50814,0.49369,0.32188,1.41316,1.00443,1.08714,0.000397019,0.000397019,0.000397019
59,2232.93,1.43072,0.9273,1.07169,0.51568,0.52902,0.49658,0.32128,1.39263,1.00457,1.07894,0.000381899,0.000381899,0.000381899
60,2255.52,1.4135,0.91242,1.05526,0.52113,0.53059,0.49763,0.32154,1.40876,1.02065,1.08494,0.000366899,0.000366899,0.000366899
61,2278.12,1.39994,0.90297,1.05785,0.51652,0.53631,0.50029,0.32664,1.40811,0.97907,1.08679,0.000352037,0.000352037,0.000352037
62,2300.59,1.4026,0.91682,1.05614,0.56039,0.50609,0.50504,0.32902,1.3946,0.98673,1.07275,0.000337325,0.000337325,0.000337325
63,2323.17,1.40085,0.90892,1.05431,0.54423,0.51251,0.50536,0.33275,1.39953,0.98257,1.07935,0.000322778,0.000322778,0.000322778
64,2345.85,1.40936,0.91207,1.06059,0.51538,0.53885,0.50889,0.33228,1.40149,0.98025,1.08214,0.000308412,0.000308412,0.000308412
65,2368.36,1.3931,0.91554,1.05519,0.51566,0.53794,0.5002,0.32552,1.39436,0.97922,1.08621,0.000294239,0.000294239,0.000294239
66,2391.05,1.39937,0.89812,1.06653,0.52854,0.5203,0.5027,0.32688,1.39971,0.99066,1.08334,0.000280275,0.000280275,0.000280275
67,2413.63,1.40329,0.91166,1.05186,0.52132,0.52618,0.50478,0.3306,1.40279,0.9746,1.08541,0.000266532,0.000266532,0.000266532
68,2436.11,1.40573,0.89188,1.05289,0.54705,0.53258,0.51087,0.33573,1.39171,0.98122,1.07865,0.000253024,0.000253024,0.000253024
69,2458.71,1.38153,0.89139,1.0551,0.53123,0.5332,0.50105,0.33035,1.39847,0.9861,1.08884,0.000239766,0.000239766,0.000239766
70,2481.42,1.39212,0.88991,1.0487,0.55276,0.515,0.50497,0.32993,1.39948,0.98588,1.08596,0.000226769,0.000226769,0.000226769
71,2503.97,1.37818,0.89015,1.04876,0.56035,0.52287,0.50428,0.33187,1.40317,0.98986,1.08394,0.000214046,0.000214046,0.000214046
72,2526.55,1.38017,0.88267,1.05336,0.53521,0.52325,0.50535,0.33395,1.39979,0.99242,1.07822,0.000201611,0.000201611,0.000201611
73,2549.36,1.39821,0.88028,1.04725,0.50722,0.54073,0.50688,0.33568,1.39033,0.97507,1.07626,0.000189475,0.000189475,0.000189475
74,2571.95,1.35416,0.86388,1.03791,0.53722,0.5571,0.5084,0.3368,1.42845,0.99218,1.08933,0.000177651,0.000177651,0.000177651
75,2595.5,1.37546,0.87313,1.04846,0.51413,0.52615,0.50302,0.33085,1.40718,0.98936,1.07895,0.000166149,0.000166149,0.000166149
76,2618.13,1.36642,0.86616,1.04318,0.54444,0.5255,0.50937,0.33311,1.41072,0.99145,1.08406,0.000154982,0.000154982,0.000154982
77,2640.87,1.38343,0.86415,1.0415,0.53505,0.52911,0.50702,0.33179,1.42438,0.99121,1.08652,0.000144161,0.000144161,0.000144161
78,2663.48,1.35158,0.85673,1.04106,0.54481,0.53838,0.50968,0.33477,1.40903,0.98991,1.08224,0.000133695,0.000133695,0.000133695
79,2686.29,1.35808,0.8518,1.03426,0.5266,0.53121,0.50572,0.33402,1.38935,0.97842,1.07565,0.000123596,0.000123596,0.000123596
80,2709.69,1.36014,0.86014,1.03584,0.54101,0.5335,0.5063,0.33546,1.4099,0.98442,1.0816,0.000113873,0.000113873,0.000113873
81,2732.39,1.35611,0.8458,1.03819,0.52986,0.52665,0.50692,0.33413,1.40597,0.97091,1.08681,0.000104537,0.000104537,0.000104537
82,2755.05,1.37428,0.85354,1.04013,0.54229,0.54722,0.50905,0.33333,1.4019,0.97867,1.08512,9.55951e-05,9.55951e-05,9.55951e-05
83,2777.69,1.36377,0.84287,1.03311,0.53332,0.54336,0.5142,0.33706,1.40586,0.9691,1.08782,8.70577e-05,8.70577e-05,8.70577e-05
84,2800.47,1.33417,0.84462,1.03031,0.52348,0.54338,0.51127,0.33465,1.40704,0.98005,1.08541,7.89327e-05,7.89327e-05,7.89327e-05
85,2823.57,1.35323,0.83471,1.0366,0.50592,0.54136,0.50677,0.33413,1.40819,0.97736,1.08581,7.12282e-05,7.12282e-05,7.12282e-05
86,2847.41,1.3392,0.83196,1.02895,0.5374,0.54014,0.50781,0.33367,1.4222,0.98126,1.08974,6.39518e-05,6.39518e-05,6.39518e-05
87,2870.05,1.34772,0.83496,1.03529,0.53211,0.53611,0.50965,0.33356,1.41419,0.97734,1.09016,5.71106e-05,5.71106e-05,5.71106e-05
88,2892.64,1.34824,0.83432,1.03635,0.52886,0.5422,0.5061,0.33202,1.42208,0.98055,1.09028,5.07115e-05,5.07115e-05,5.07115e-05
89,2915.26,1.35017,0.83257,1.03615,0.53904,0.52543,0.50681,0.33249,1.42142,0.98761,1.08404,4.47606e-05,4.47606e-05,4.47606e-05
90,2938.13,1.33972,0.83582,1.03187,0.5206,0.5539,0.51426,0.33637,1.41135,0.97403,1.08525,3.9264e-05,3.9264e-05,3.9264e-05
91,2960.27,1.32052,0.83015,1.03405,0.54846,0.50593,0.50382,0.32995,1.41215,0.99129,1.08653,3.4227e-05,3.4227e-05,3.4227e-05
92,2981.77,1.30894,0.8165,1.0291,0.52495,0.53489,0.50382,0.32951,1.41552,0.97737,1.08964,2.96546e-05,2.96546e-05,2.96546e-05
93,3004.62,1.3086,0.80694,1.0262,0.53612,0.51328,0.50187,0.32884,1.4242,0.98245,1.09196,2.55513e-05,2.55513e-05,2.55513e-05
94,3026.08,1.30206,0.79949,1.02342,0.52606,0.5281,0.50479,0.32995,1.42602,0.98616,1.09053,2.19212e-05,2.19212e-05,2.19212e-05
95,3048.38,1.29628,0.80017,1.02015,0.53417,0.52033,0.50303,0.32769,1.43793,0.99109,1.09318,1.87678e-05,1.87678e-05,1.87678e-05
96,3070.57,1.30009,0.79505,1.02299,0.5287,0.51806,0.50195,0.32867,1.42862,0.98429,1.09281,1.60943e-05,1.60943e-05,1.60943e-05
97,3092,1.30566,0.80372,1.02882,0.54145,0.519,0.50675,0.32988,1.43142,0.98275,1.09262,1.39032e-05,1.39032e-05,1.39032e-05
98,3113.77,1.30095,0.80022,1.02078,0.54558,0.51221,0.50362,0.32935,1.43283,0.98751,1.09371,1.21968e-05,1.21968e-05,1.21968e-05
99,3136.87,1.28741,0.79331,1.02057,0.53226,0.51893,0.50619,0.33144,1.42934,0.98317,1.09326,1.09768e-05,1.09768e-05,1.09768e-05
100,3158.46,1.29162,0.78463,1.02913,0.54105,0.52021,0.50657,0.3308,1.43162,0.984,1.09391,1.02443e-05,1.02443e-05,1.02443e-05
